speaker_iso,target_iso,year,count
RUS,URS,1946,29
RUS,USA,1946,23
BLR,ESP,1946,15
UKR,URS,1946,15
UKR,USA,1946,15
UKR,CUB,1946,13
BLR,USA,1946,12
YUG,ESP,1946,12
YUG,DEU,1946,10
UKR,AUS,1946,8
URY,USA,1946,8
YUG,ALB,1946,8
YUG,USA,1946,8
BLR,GBR,1946,7
COL,USA,1946,7
ARG,BRA,1946,6
ARG,USA,1946,6
BLR,DEU,1946,6
COL,URS,1946,6
RUS,GBR,1946,6
UKR,IRN,1946,6
ARG,PRY,1946,5
AUS,USA,1946,5
RUS,IRN,1946,5
UKR,PHL,1946,5
USA,URS,1946,5
YUG,GRC,1946,5
YUG,ITA,1946,5
AUS,URS,1946,4
BLR,CHN,1946,4
CAN,USA,1946,4
CHN,USA,1946,4
EGY,USA,1946,4
GBR,GRC,1946,4
NOR,ESP,1946,4
PER,USA,1946,4
PHL,DEU,1946,4
POL,DEU,1946,4
RUS,IND,1946,4
RUS,JPN,1946,4
ARG,CHL,1946,3
BLR,IDN,1946,3
BLR,ITA,1946,3
BRA,USA,1946,3
EGY,GBR,1946,3
GBR,USA,1946,3
MEX,USA,1946,3
NZL,USA,1946,3
PHL,DDR,1946,3
POL,ESP,1946,3
RUS,CHN,1946,3
RUS,DEU,1946,3
SAU,USA,1946,3
TUR,USA,1946,3
UKR,IND,1946,3
URY,FRA,1946,3
YUG,AUS,1946,3
YUG,NZL,1946,3
ARG,BOL,1946,2
ARG,CHN,1946,2
ARG,URY,1946,2
BEL,BDI,1946,2
BEL,USA,1946,2
BLR,EGY,1946,2
BLR,IRQ,1946,2
BLR,JPN,1946,2
BLR,TUR,1946,2
BLR,URS,1946,2
BOL,USA,1946,2
CHL,USA,1946,2
COL,GBR,1946,2
GBR,URS,1946,2
IND,ZAF,1946,2
LBR,USA,1946,2
LUX,RUS,1946,2
LUX,USA,1946,2
NLD,ESP,1946,2
PHL,CHN,1946,2
PHL,ZAF,1946,2
RUS,FRA,1946,2
RUS,ZAF,1946,2
UKR,CHN,1946,2
UKR,FRA,1946,2
UKR,GRC,1946,2
UKR,JPN,1946,2
UKR,ZAF,1946,2
URY,CHN,1946,2
USA,AUS,1946,2
USA,CUB,1946,2
USA,FRA,1946,2
VEN,USA,1946,2
YUG,URS,1946,2
ARG,COL,1946,1
ARG,ECU,1946,1
ARG,ESP,1946,1
ARG,FRA,1946,1
ARG,ITA,1946,1
ARG,VEN,1946,1
AUS,GIN,1946,1
BEL,CHN,1946,1
BEL,DEU,1946,1
BEL,ESP,1946,1
BEL,LUX,1946,1
BEL,NLD,1946,1
BEL,POL,1946,1
BLR,ARG,1946,1
BLR,AUS,1946,1
BLR,CSK,1946,1
BLR,CUB,1946,1
BLR,GRC,1946,1
BLR,IRN,1946,1
BLR,JOR,1946,1
BLR,PER,1946,1
BLR,POL,1946,1
BLR,PSE,1946,1
BLR,VEN,1946,1
BLR,YUG,1946,1
BOL,ARG,1946,1
BOL,PER,1946,1
CHL,AUS,1946,1
CHL,MEX,1946,1
CHN,BRA,1946,1
CHN,EGY,1946,1
COL,CHN,1946,1
COL,CUB,1946,1
COL,DEU,1946,1
COL,ESP,1946,1
COL,JPN,1946,1
COL,MEX,1946,1
CSK,CHN,1946,1
CSK,DEU,1946,1
CSK,ESP,1946,1
ECU,CHN,1946,1
ECU,DDR,1946,1
ECU,DEU,1946,1
EGY,FRA,1946,1
EGY,IRN,1946,1
EGY,LBN,1946,1
EGY,SYR,1946,1
EGY,URS,1946,1
