speaker_iso,target_iso,year,session,count
ARG,CHL,1946,01,3
ARG,PRY,1946,01,5
ARG,BRA,1946,01,6
ARG,URY,1946,01,2
ARG,USA,1946,01,6
ARG,CHN,1946,01,2
ARG,BOL,1946,01,2
ARG,ITA,1946,01,1
ARG,ECU,1946,01,1
ARG,VEN,1946,01,1
ARG,COL,1946,01,1
ARG,FRA,1946,01,1
ARG,ESP,1946,01,1
AUS,GIN,1946,01,1
AUS,URS,1946,01,4
AUS,USA,1946,01,5
BEL,POL,1946,01,1
BEL,DEU,1946,01,1
BEL,USA,1946,01,2
BEL,ESP,1946,01,1
BEL,NLD,1946,01,1
BEL,LUX,1946,01,1
BEL,CHN,1946,01,1
BEL,BDI,1946,01,2
BLR,CUB,1946,01,1
BLR,AUS,1946,01,1
BLR,USA,1946,01,12
BLR,PER,1946,01,1
BLR,VEN,1946,01,1
BLR,ARG,1946,01,1
BLR,TUR,1946,01,2
BLR,DEU,1946,01,6
BLR,JPN,1946,01,2
BLR,GBR,1946,01,7
BLR,URS,1946,01,2
BLR,POL,1946,01,1
BLR,YUG,1946,01,1
BLR,CSK,1946,01,1
BLR,GRC,1946,01,1
BLR,EGY,1946,01,2
BLR,IRQ,1946,01,2
BLR,IRN,1946,01,1
BLR,PSE,1946,01,1
BLR,JOR,1946,01,1
BLR,IDN,1946,01,3
BLR,CHN,1946,01,4
BLR,ESP,1946,01,15
BLR,ITA,1946,01,3
BOL,USA,1946,01,2
BOL,ARG,1946,01,1
BOL,PER,1946,01,1
BRA,USA,1946,01,3
CAN,USA,1946,01,4
CHL,USA,1946,01,2
CHL,MEX,1946,01,1
CHL,AUS,1946,01,1
CHN,USA,1946,01,4
CHN,BRA,1946,01,1
CHN,EGY,1946,01,1
COL,MEX,1946,01,1
COL,USA,1946,01,7
COL,URS,1946,01,6
COL,GBR,1946,01,2
COL,DEU,1946,01,1
COL,JPN,1946,01,1
COL,ESP,1946,01,1
COL,CHN,1946,01,1
COL,CUB,1946,01,1
CSK,CHN,1946,01,1
CSK,ESP,1946,01,1
CSK,DEU,1946,01,1
ECU,DDR,1946,01,1
ECU,DEU,1946,01,1
ECU,CHN,1946,01,1
EGY,USA,1946,01,4
EGY,GBR,1946,01,3
EGY,IRN,1946,01,1
EGY,URS,1946,01,1
EGY,SYR,1946,01,1
EGY,LBN,1946,01,1
EGY,FRA,1946,01,1
GBR,USA,1946,01,3
GBR,IRN,1946,01,1
GBR,SYR,1946,01,1
GBR,YUG,1946,01,1
GBR,DDR,1946,01,1
GBR,NZL,1946,01,1
GBR,UKR,1946,01,1
GBR,GRC,1946,01,4
GBR,URS,1946,01,2
GRC,URS,1946,01,1
GRC,USA,1946,01,1
HTI,CHN,1946,01,1
HTI,USA,1946,01,1
IND,ZAF,1946,01,2
IND,LBN,1946,01,1
IND,IDN,1946,01,1
IND,SYR,1946,01,1
IND,URS,1946,01,1
IRN,AUS,1946,01,1
LBN,USA,1946,01,1
LBN,YUG,1946,01,1
LBR,USA,1946,01,2
LBR,GBR,1946,01,1
LBR,CHN,1946,01,1
LUX,RUS,1946,01,2
LUX,USA,1946,01,2
MEX,USA,1946,01,3
MEX,GNQ,1946,01,1
NLD,ESP,1946,01,2
NOR,ESP,1946,01,4
NOR,USA,1946,01,1
NZL,USA,1946,01,3
NZL,GBR,1946,01,1
NZL,AUS,1946,01,1
PER,USA,1946,01,4
PHL,DDR,1946,01,3
PHL,DEU,1946,01,4
PHL,ZAF,1946,01,2
PHL,IND,1946,01,1
PHL,IDN,1946,01,1
PHL,CHN,1946,01,2
PHL,URS,1946,01,1
PHL,FRA,1946,01,1
PHL,ITA,1946,01,1
PHL,JPN,1946,01,1
POL,ESP,1946,01,3
POL,DEU,1946,01,4
RUS,ESP,1946,01,1
RUS,IRN,1946,01,5
RUS,URS,1946,01,29
RUS,GBR,1946,01,6
RUS,FRA,1946,01,2
RUS,BEL,1946,01,1
RUS,AUS,1946,01,1
RUS,NZL,1946,01,1
RUS,ZAF,1946,01,2
RUS,PSE,1946,01,1
RUS,TTO,1946,01,1
RUS,GIN,1946,01,1
RUS,IND,1946,01,4
RUS,NLD,1946,01,1
RUS,IDN,1946,01,1
RUS,GRC,1946,01,1
RUS,USA,1946,01,23
RUS,CHN,1946,01,3
RUS,HND,1946,01,1
RUS,HTI,1946,01,1
RUS,DEU,1946,01,3
RUS,JPN,1946,01,4
SAU,USA,1946,01,3
SAU,ARE,1946,01,1
SYR,LBN,1946,01,1
SYR,USA,1946,01,1
SYR,GBR,1946,01,1
SYR,ARE,1946,01,1
TUR,USA,1946,01,3
UKR,USA,1946,01,15
UKR,URS,1946,01,15
UKR,AUS,1946,01,8
UKR,CUB,1946,01,13
UKR,GBR,1946,01,1
UKR,CHN,1946,01,2
UKR,FRA,1946,01,2
UKR,BEL,1946,01,1
UKR,IRN,1946,01,6
UKR,IND,1946,01,3
UKR,ZAF,1946,01,2
UKR,PHL,1946,01,5
UKR,JPN,1946,01,2
UKR,IDN,1946,01,1
UKR,GRC,1946,01,2
UKR,ALB,1946,01,1
UKR,BGR,1946,01,1
UKR,YUG,1946,01,1
UKR,DEU,1946,01,1
UKR,ITA,1946,01,1
URY,USA,1946,01,8
URY,DEU,1946,01,1
URY,PRY,1946,01,1
URY,GTM,1946,01,1
URY,BEL,1946,01,1
URY,NOR,1946,01,1
URY,BRA,1946,01,1
URY,FRA,1946,01,3
URY,CHN,1946,01,2
URY,DDR,1946,01,1
USA,URS,1946,01,5
USA,AUS,1946,01,2
USA,CUB,1946,01,2
USA,RUS,1946,01,1
USA,GBR,1946,01,1
USA,FRA,1946,01,2
VEN,USA,1946,01,2
YUG,AUS,1946,01,3
YUG,NZL,1946,01,3
YUG,DEU,1946,01,10
YUG,ITA,1946,01,5
YUG,JPN,1946,01,1
YUG,USA,1946,01,8
YUG,URS,1946,01,2
YUG,ALB,1946,01,8
YUG,GRC,1946,01,5
YUG,BGR,1946,01,1
YUG,ESP,1946,01,12
YUG,CSK,1946,01,1
YUG,HUN,1946,01,1
YUG,AUT,1946,01,1
YUG,CHN,1946,01,1
YUG,FRA,1946,01,1
ARG,USA,1947,02,5
ARG,IRL,1947,02,1
ARG,PRT,1947,02,1
ARG,JOR,1947,02,1
ARG,ITA,1947,02,1
ARG,AUT,1947,02,1
ARG,DEU,1947,02,1
ARG,NZL,1947,02,1
ARG,GBR,1947,02,1
ARG,FRA,1947,02,1
ARG,GRC,1947,02,3
ARG,ZAF,1947,02,1
ARG,EGY,1947,02,1
ARG,SDN,1947,02,1
ARG,TUR,1947,02,1
ARG,IRN,1947,02,1
ARG,CHN,1947,02,1
ARG,URS,1947,02,5
ARG,AUS,1947,02,1
ARG,ESP,1947,02,2
AUS,JPN,1947,02,9
AUS,DEU,1947,02,3
AUS,AUT,1947,02,1
AUS,USA,1947,02,9
AUS,MEX,1947,02,1
AUS,GRC,1947,02,1
AUS,URS,1947,02,3
AUS,IRL,1947,02,7
AUS,IDN,1947,02,2
AUS,GNQ,1947,02,1
BLR,USA,1947,02,17
BLR,TUR,1947,02,1
BLR,GRC,1947,02,2
BLR,ESP,1947,02,15
BLR,IND,1947,02,2
BLR,ZAF,1947,02,4
BLR,NLD,1947,02,6
BLR,IDN,1947,02,13
BLR,CHN,1947,02,1
BLR,JPN,1947,02,2
BLR,DEU,1947,02,6
BLR,URS,1947,02,11
BLR,ITA,1947,02,1
BLR,AUT,1947,02,1
BLR,RUS,1947,02,1
BRA,USA,1947,02,1
CAN,USA,1947,02,2
CHL,CHN,1947,02,1
CHL,RUS,1947,02,1
CHL,ZAF,1947,02,1
CHL,USA,1947,02,3
CHN,PSE,1947,02,1
COL,URS,1947,02,8
COL,CHN,1947,02,1
COL,FRA,1947,02,2
COL,GBR,1947,02,5
COL,USA,1947,02,29
COL,ESP,1947,02,1
COL,IND,1947,02,2
COL,ZAF,1947,02,5
COL,DEU,1947,02,4
COL,DDR,1947,02,1
COL,IDN,1947,02,1
COL,BEL,1947,02,1
COL,COG,1947,02,1
COL,GRC,1947,02,4
COL,TUR,1947,02,2
COL,AUS,1947,02,1
CSK,POL,1947,02,1
CSK,YUG,1947,02,1
CSK,BLR,1947,02,1
CSK,CHN,1947,02,1
CSK,MOZ,1947,02,1
CSK,SVK,1947,02,1
CSK,URS,1947,02,3
CSK,DDR,1947,02,1
CSK,DEU,1947,02,14
CSK,PSE,1947,02,1
CSK,GRC,1947,02,2
CUB,USA,1947,02,1
CUB,ITA,1947,02,1
CUB,AUS,1947,02,1
DOM,PSE,1947,02,2
DOM,ARE,1947,02,1
DOM,ITA,1947,02,1
DOM,GRC,1947,02,3
ECU,USA,1947,02,6
ECU,AUS,1947,02,1
ECU,CHL,1947,02,1
EGY,YEM,1947,02,1
EGY,GBR,1947,02,2
EGY,SDN,1947,02,1
EGY,ARE,1947,02,3
EGY,PSE,1947,02,1
FRA,USA,1947,02,7
FRA,ARG,1947,02,1
FRA,GRC,1947,02,2
FRA,PSE,1947,02,3
FRA,GBR,1947,02,4
FRA,DEU,1947,02,14
FRA,ITA,1947,02,1
FRA,RUS,1947,02,1
FRA,URS,1947,02,2
GBR,SYR,1947,02,3
GBR,URS,1947,02,62
GBR,GRC,1947,02,6
GBR,IDN,1947,02,3
GBR,SLV,1947,02,1
GBR,USA,1947,02,30
GBR,ESP,1947,02,2
GBR,FRA,1947,02,2
GBR,DEU,1947,02,6
GBR,JPN,1947,02,2
GBR,BGR,1947,02,2
GBR,EGY,1947,02,8
GBR,CHN,1947,02,3
GBR,ITA,1947,02,1
GBR,HUN,1947,02,1
GBR,IRN,1947,02,2
GBR,TUR,1947,02,1
GBR,RUS,1947,02,1
GBR,YUG,1947,02,1
GBR,BLR,1947,02,1
GBR,PRK,1947,02,2
GBR,SDN,1947,02,1
GBR,AUS,1947,02,1
GBR,NZL,1947,02,1
GBR,IND,1947,02,1
GBR,LUX,1947,02,1
GRC,ALB,1947,02,8
GRC,BGR,1947,02,9
GRC,YUG,1947,02,10
GRC,URS,1947,02,2
GRC,CHN,1947,02,1
GRC,GBR,1947,02,1
GRC,USA,1947,02,1
IND,GBR,1947,02,1
IND,IDN,1947,02,2
IND,ZAF,1947,02,2
IND,DDR,1947,02,2
IND,DEU,1947,02,1
IRQ,PSE,1947,02,16
IRQ,USA,1947,02,1
IRQ,ARE,1947,02,1
IRQ,GBR,1947,02,2
LBN,USA,1947,02,4
LBN,GRC,1947,02,3
LBN,PRK,1947,02,2
LBN,PSE,1947,02,4
LBN,ARE,1947,02,2
LBN,CHN,1947,02,1
LBN,CUB,1947,02,1
MEX,USA,1947,02,4
MEX,BRA,1947,02,1
NLD,USA,1947,02,5
NLD,IDN,1947,02,2
NLD,URS,1947,02,1
NLD,AUS,1947,02,1
NZL,USA,1947,02,3
PER,USA,1947,02,5
PER,DDR,1947,02,1
PER,PSE,1947,02,2
PHL,IDN,1947,02,1
PHL,USA,1947,02,7
PHL,IND,1947,02,2
PHL,ZAF,1947,02,2
PHL,NZL,1947,02,1
PHL,PAK,1947,02,1
PHL,PSE,1947,02,1
PHL,MMR,1947,02,1
PHL,LKA,1947,02,1
PHL,GBR,1947,02,1
POL,USA,1947,02,1
POL,ESP,1947,02,1
POL,DEU,1947,02,12
POL,IDN,1947,02,3
POL,GRC,1947,02,4
POL,PSE,1947,02,3
POL,NLD,1947,02,1
POL,EGY,1947,02,1
POL,SDN,1947,02,1
RUS,URS,1947,02,82
RUS,USA,1947,02,111
RUS,GBR,1947,02,13
RUS,GRC,1947,02,5
RUS,TUR,1947,02,8
RUS,FRA,1947,02,2
RUS,DEU,1947,02,9
RUS,EGY,1947,02,1
RUS,JOR,1947,02,1
RUS,CHN,1947,02,2
RUS,ARG,1947,02,1
RUS,IND,1947,02,1
RUS,ZAF,1947,02,2
RUS,IDN,1947,02,7
RUS,NLD,1947,02,1
RUS,IRN,1947,02,4
RUS,YUG,1947,02,1
RUS,BGR,1947,02,2
RUS,ALB,1947,02,1
RUS,PRK,1947,02,1
RUS,JPN,1947,02,13
RUS,BLR,1947,02,3
RUS,OMN,1947,02,1
SAU,ARE,1947,02,2
SAU,PSE,1947,02,3
SAU,USA,1947,02,2
SLV,CHE,1947,02,1
SLV,USA,1947,02,1
SLV,IRL,1947,02,1
SLV,PRT,1947,02,1
SLV,JOR,1947,02,1
SWE,USA,1947,02,1
SWE,BGR,1947,02,1
SWE,FIN,1947,02,1
SWE,HUN,1947,02,1
SWE,ITA,1947,02,1
SWE,CHN,1947,02,1
SYR,PSE,1947,02,22
SYR,USA,1947,02,8
SYR,ARE,1947,02,3
SYR,OMN,1947,02,1
SYR,ISR,1947,02,1
SYR,CHN,1947,02,3
SYR,URS,1947,02,2
THA,CHN,1947,02,1
THA,IND,1947,02,1
THA,GBR,1947,02,1
THA,MMR,1947,02,1
THA,IDN,1947,02,1
TUR,USA,1947,02,4
TUR,GRC,1947,02,1
TUR,URS,1947,02,2
UKR,GRC,1947,02,19
UKR,PSE,1947,02,3
UKR,USA,1947,02,26
UKR,CHN,1947,02,5
UKR,GBR,1947,02,14
UKR,DEU,1947,02,14
UKR,URS,1947,02,25
UKR,NOR,1947,02,1
UKR,IRN,1947,02,1
UKR,IDN,1947,02,2
UKR,NLD,1947,02,1
UKR,RUS,1947,02,1
UKR,ESP,1947,02,1
UKR,ARG,1947,02,1
UKR,TTO,1947,02,1
UKR,DDR,1947,02,1
UKR,CSK,1947,02,1
UKR,BLR,1947,02,2
UKR,JPN,1947,02,1
UKR,EGY,1947,02,1
UKR,FRA,1947,02,1
UKR,ITA,1947,02,2
UKR,TUR,1947,02,2
UKR,ARE,1947,02,1
UKR,ALB,1947,02,1
UKR,BGR,1947,02,1
UKR,YUG,1947,02,1
URY,USA,1947,02,1
USA,DEU,1947,02,2
USA,JPN,1947,02,4
USA,AUT,1947,02,1
USA,GRC,1947,02,3
USA,YUG,1947,02,2
USA,ALB,1947,02,2
USA,BGR,1947,02,2
USA,PSE,1947,02,2
USA,PRK,1947,02,10
USA,GBR,1947,02,3
USA,CHN,1947,02,3
USA,URS,1947,02,5
VEN,PSE,1947,02,2
VEN,USA,1947,02,1
VEN,ITA,1947,02,3
VEN,GRC,1947,02,1
YUG,USA,1947,02,21
YUG,DEU,1947,02,4
